date,equity_strat,equity_bh,signal
2010-01-04,1.0026467082771524,1.0026467082771524,1
2010-01-05,1.003352598842849,1.003352598842849,1
2010-01-06,1.0075883011492277,1.0075883011492277,1
2010-01-07,1.010941258904275,1.010941258904275,1
2010-01-08,1.0123527708515199,1.0123527708515199,1
2010-01-11,1.0029117649354804,1.0029117649354804,1
2010-01-12,1.011382361995792,1.011382361995792,1
2010-01-13,1.014117811313935,1.014117811313935,1
2010-01-14,1.0027350904059447,1.0027350904059447,1
2010-01-15,1.015264984427248,1.015264984427248,1
2010-01-19,1.0049409647757286,1.0049409647757286,1
2010-01-20,0.9856170422996866,0.9856170422996866,1
2010-01-21,0.9636459629062447,0.9636459629062447,1
2010-01-22,0.9685872865941717,0.9685872865941717,1
2010-01-25,0.9645283485453782,0.9645283485453782,1
2010-01-26,0.9691164129022833,0.9691164129022833,1
2010-01-27,0.957998210284324,0.957998210284324,1
2010-01-28,0.9475863468723089,0.9475863468723089,1
2010-01-29,0.9623224741755944,0.9623224741755944,1
2010-02-01,0.9739696236455663,0.9739696236455663,1
2010-02-02,0.9691164129022833,0.9691164129022833,1
2010-02-03,0.9392038627566413,0.9392038627566413,1
2010-02-04,0.941145218836394,0.941145218836394,1
2010-02-05,0.9343511006536059,0.9343511006536059,1
2010-02-08,0.9460865425243209,0.9460865425243209,1
2010-02-09,0.9442333891172616,0.9442333891172616,1
2010-02-10,0.9541162159492146,0.9541162159492146,1
2010-02-11,0.9533221227108243,0.9533221227108243,1
2010-02-12,0.968322499119992,0.968322499119992,1
2010-02-16,0.9729107429329963,0.9729107429329963,1
2010-02-17,0.978646249587363,0.978646249587363,1
2010-02-18,0.9806758083398093,0.9806758083398093,1
2010-02-19,0.9808520342290972,0.9808520342290972,1
2010-02-22,0.9689401870129951,0.9689401870129951,1
2010-02-23,0.977852066620923,0.977852066620923,1
2010-02-24,0.9765283087061241,0.9765283087061241,1
2010-02-25,0.9771461760552265,0.9771461760552265,1
2010-02-26,0.9872933417211114,0.9872933417211114,1
2010-03-01,0.9900289704953534,0.9900289704953534,1
2010-03-02,0.9909112664064372,0.9909112664064372,1
2010-03-03,0.9939115929268094,0.9939115929268094,1
2010-03-04,1.008117696641488,1.008117696641488,1
2010-03-05,1.0082938328027264,1.0082938328027264,1
2010-03-08,1.0099705808643988,1.0099705808643988,1
2010-03-09,1.0144706220047097,1.0144706220047097,1
2010-03-10,1.0187060551269398,1.0187060551269398,1
2010-03-11,1.0187944372557323,1.0187944372557323,1
2010-03-12,1.0190590452738129,1.0190590452738129,1
2010-03-15,1.0271769213714,1.0271769213714,1
2010-03-16,1.033265597628739,1.033265597628739,1
2010-03-17,1.0327363815925779,1.0327363815925779,1
2010-03-18,1.0275087356985828,1.0275087356985828,1
